Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Creativity,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,0.00043436145095528356
Control,Creativity,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,0.0006847907549494108
Control,Creativity,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,-0.0002133754511139461
Control,Creativity,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.00042108245033440977
Control,Creativity,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,0.0005813168264754282
Control,Creativity,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,-0.00016473417587069836
Control,Creativity,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,0.00045920400929033814
Control,Creativity,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,0.0007492303341783529
Control,Creativity,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,0.0005470707776034235
Control,Creativity,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,0.0006116444256525728
Control,Creativity,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,0.003907659782725253
Control,Creativity,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,0.0006261118855964275
Control,Creativity,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,1.4286019685542901e-05
Control,Creativity,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,0.00010158195565468499
Control,Creativity,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,0.0014779735252252138
Control,Creativity,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,0.0031078444480589986
Control,Creativity,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,0.00158915684118983
Control,Creativity,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,0.002405572236865103
Control,Creativity,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,-0.0004433836027204475
Control,Creativity,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,0.0005082403826753972
Control,Creativity,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,0.008177749127698532
Control,Creativity,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,0.00037548532014469596
Control,Creativity,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,0.0021401599697516696
Control,Creativity,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,-0.0002121791232607699
Control,Creativity,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,0.0001678585987088164
Control,Creativity,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,0.0005859391555739468
Control,Creativity,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,0.00021670037647251322
Control,Creativity,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,0.00433268733686333
Control,Creativity,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,-0.0001698682612189818
Control,Creativity,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,0.0005347830594571153
Control,Creativity,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,-0.0023238473209501536
Control,Creativity,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,-0.0009994334213528427
Control,Creativity,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,0.000412749657575138
Control,Creativity,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,7.81584554701125e-05
Control,Creativity,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,0.005068759171000784
Control,Creativity,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,-0.00033738152072060866
Control,Creativity,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.0003093601062262956
Control,Creativity,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,-0.0008192898245897084
Control,Creativity,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,-0.00021449271592376438
Control,Creativity,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,0.020154316265248065
Control,Creativity,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,5.9268145236564754e-05
Control,Creativity,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,-5.7625120386728206e-05
Control,Creativity,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,-0.00028525670123161483
Control,Creativity,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,0.00035821739781242745
Control,Creativity,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,0.006760044236393722
Control,Creativity,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.0002573380147687653
Control,Creativity,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,-5.326891365322091e-05
Control,Creativity,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-0.0005470145415696581
Control,Creativity,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,0.0005465043725399347
Control,Creativity,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,0.005716983916716535
Control,Creativity,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,0.00022788456953913786
Control,Creativity,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,0.0001611119687376409
Control,Creativity,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,0.003920649433789596
Control,Creativity,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,4.383694051846227e-05
Control,Creativity,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,0.0017132672746817633
Control,Creativity,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,0.00017479940432068924
Control,Creativity,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.00017164038776297242
Control,Creativity,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,0.0012613087457605987
Control,Creativity,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,-8.990479408777642e-05
Control,Moved,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,0.0018965012453090364
Control,Moved,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,0.026058005183986332
Control,Moved,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,0.0012329077495863156
Control,Moved,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,-0.002518197825175456
Control,Moved,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,0.00030509478158544334
Control,Moved,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,-0.012260572505340296
Control,Moved,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-0.001947076732902669
Control,Moved,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,2.752894490947588e-05
Control,Moved,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,0.0027991463731769236
Control,Moved,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,0.0008414722205793443
Control,Moved,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.0002166504876644226
Control,Moved,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,0.04507699683889538
Control,Moved,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,0.0006013916498905256
Control,Moved,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.000897393945926167
Control,Moved,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,-0.0002444031875834929
Control,Moved,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,0.0026191361237534686
Control,Moved,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-0.002780795684001347
Control,Moved,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,-0.002423166193415676
Control,Moved,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,-0.001540469298457608
Control,Moved,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.0013647118642383432
Control,Moved,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,-0.00012893419520504284
Control,Moved,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,0.0015343100793905895
Control,Moved,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,0.0032555570312662887
Control,Moved,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,0.0016096257210956332
Control,Moved,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,8.038475110614073e-05
Control,Moved,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,-0.0006132857305830313
Control,Moved,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,9.058465784288085e-05
Control,Moved,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,-0.0015787294227675895
Control,Moved,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,-0.0003319873320001975
Control,Moved,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,0.00017306619527875002
Control,Moved,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,0.005626141730373872
Control,Moved,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,0.0021977412520577263
Control,Moved,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,-0.006208033876309649
Control,Moved,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,-0.00022798257081058386
Control,Moved,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.00022976754091881703
Control,Moved,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,0.00010088526732310104
