Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Control,Moved,"CL1_(0, 5)_lower gamma",0.0161252503251464,0.8508898001754579,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.0027991463731769236
Control,Originality,"CL1_(0, 5)_lower gamma",-0.1128235160709047,0.1884593703495952,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,5.237747846231891e-05
Control,Creativity,"CL1_(0, 5)_lower gamma",-0.2185914095001374,0.1434372638419708,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.0003745213662155465
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.1247529641227734,0.0263385429523725,-0.1247529641227734,CL1,"(0, 5)",theta,Linear,LightGBM,-0.0002987869489898598
Haiku,Vivid_Imagery,"CL1_(0, 5)_theta",-0.060294185587322,0.2871766649653139,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.012651827304733633
Haiku,Moved,"CL1_(0, 5)_theta",0.0145913346213072,0.8785946511161834,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.0012757950151093948
Haiku,Originality,"CL1_(0, 5)_theta",-0.1528325888251589,0.1157805563330321,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.0031019959499690225
Haiku,Creativity,"CL1_(0, 5)_theta",-0.2866173001583896,0.0025675898904329,-0.2866173001583896,CL1,"(0, 5)",theta,Linear,LightGBM,-0.00020701611405232666
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.1430357118897516,0.1133802781798377,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.002910280334190302
Senryu,Vivid_Imagery,"CL1_(0, 5)_theta",-0.1026009594512088,0.260759294617637,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.0001897901574712186
Senryu,Moved,"CL1_(0, 5)_theta",0.0018062954343825,0.9723273149168772,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.00019187242852906862
Senryu,Originality,"CL1_(0, 5)_theta",-0.0322055300445484,0.5368614359389776,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-7.735415513123283e-05
Senryu,Creativity,"CL1_(0, 5)_theta",-0.1317549911366076,0.1411384999750955,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.0004859955094514442
Control,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.024510151159132,0.6267241808910661,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.0012751738233495273
Control,Vivid_Imagery,"CL1_(0, 5)_theta",0.0416306620482725,0.4033830348069885,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,7.352527271446849e-05
Control,Moved,"CL1_(0, 5)_theta",0.0567373747466129,0.26996100596864,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.0008414722205793443
Control,Originality,"CL1_(0, 5)_theta",-0.0227048126684639,0.6564185493763826,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.00034214670245758243
Control,Creativity,"CL1_(0, 5)_theta",-0.006033768694168,0.9458922253172348,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.000260967659507897
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_alpha",0.0478681343807351,0.3128797725313731,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,0.0004118071091222363
Haiku,Vivid_Imagery,"CL1_(5, 10)_alpha",0.1233184366270685,0.0101019978134306,0.1233184366270685,CL1,"(5, 10)",alpha,Linear,LightGBM,0.032206895141652
Haiku,Moved,"CL1_(5, 10)_alpha",0.2014749265151462,0.0147299067319451,0.2014749265151462,CL1,"(5, 10)",alpha,Linear,LightGBM,0.012047203380371872
Haiku,Originality,"CL1_(5, 10)_alpha",0.0315012951079397,0.713206536615334,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,0.008554441410627401
Haiku,Creativity,"CL1_(5, 10)_alpha",0.0692474841452788,0.4138978285583606,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,-8.404929554455767e-05
Senryu,Aesthetic_Appeal,"CL1_(5, 10)_alpha",0.2753431392528135,0.0015437323622325,0.2753431392528135,CL1,"(5, 10)",alpha,Linear,LightGBM,0.005674280138743369
