Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Creativity,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,18.808877085997402
Control,Creativity,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,0.7497402337837635
Control,Creativity,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,0.5300583771468386
Control,Creativity,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,12.898936637167772
Control,Creativity,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,0.14422353430574086
Control,Creativity,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,5.6366493337030015
Control,Creativity,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,0.5750900402150676
Control,Creativity,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.5646968757401792
Control,Creativity,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,4.14970577355237
Control,Creativity,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,-0.29578677254878444
Control,Moved,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,6.23948909706673
Control,Moved,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,85.73083705531504
Control,Moved,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,4.056266496138979
Control,Moved,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,-8.28487084482725
Control,Moved,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,1.0037618314161085
Control,Moved,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,-40.33728354256957
Control,Moved,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-6.405882451249781
Control,Moved,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,0.09057022875217564
Control,Moved,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,9.209191567752079
Control,Moved,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,2.7684436057060426
Control,Moved,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.7127801044159504
Control,Moved,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,148.3033195999658
Control,Moved,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,1.9785785281398292
Control,Moved,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,2.952426082097089
Control,Moved,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,-0.8040864871496918
Control,Moved,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,8.616957847148912
Control,Moved,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-9.148817800364432
Control,Moved,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,-7.972216776337573
Control,Moved,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,-5.06814399192553
Control,Moved,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,4.4899020333441495
Control,Moved,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,-0.42419350222459096
Control,Moved,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,5.04788016119504
Control,Moved,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,10.71078263286609
Control,Moved,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,5.295668622404634
Control,Moved,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,0.26446583113920297
Control,Moved,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,-2.017710053618173
Control,Moved,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,0.298023524303078
Control,Moved,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,-5.1940198009053695
Control,Moved,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,-1.0922383222806498
Control,Moved,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,0.5693877824670875
Control,Moved,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,18.51000629293004
Control,Moved,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,7.23056871926992
Control,Moved,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,-20.424431453058745
Control,Moved,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,-0.7500626579668209
Control,Moved,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.755935209622908
Control,Moved,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,0.33191252949300243
Control,Moved,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,0.75468976628305
Control,Moved,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,7.115400387417132
Control,Moved,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,23.873611223165348
Control,Moved,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,2.3205212415838745
Control,Moved,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,-3.264843430249837
Control,Moved,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,21.226690655761182
Control,Moved,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,1.4774417253876682
Control,Moved,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,5.406675086067473
Control,Moved,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,1.4398808269924208
Control,Moved,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,-6.737290640143155
Control,Moved,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,-32.470518119006314
Control,Moved,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,-0.14449756031914732
Control,Moved,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,-0.6967185748466735
Control,Moved,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,14.032452166734005
Control,Moved,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,10.829111733347979
Control,Moved,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,18.141631863731117
Control,Moved,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,0.8410135618088997
Control,Moved,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,-6.682763220464454
Control,Moved,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,-3.301230046906386
Control,Moved,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,-12.616556802849567
Control,Moved,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,17.948393566911687
Control,Moved,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,-3.7221555031591027
