Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Control,Originality,"CL1_(0, 5)_lower gamma",-0.1934473448997587,0.0242150950677314,-0.1934473448997587,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.17232190414102921
Control,Creativity,"CL1_(0, 5)_lower gamma",-0.1300643026279916,0.1313511422650882,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,1.232175294849148
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.2015252491159855,0.0403229844037873,-0.2015252491159855,CL1,"(0, 5)",theta,Linear,LightGBM,-0.9830090621766386
Haiku,Vivid_Imagery,"CL1_(0, 5)_theta",-0.060294185587322,0.2871766649653139,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,41.62451183257365
Haiku,Moved,"CL1_(0, 5)_theta",0.0145913346213072,0.8785946511161834,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,1.1364553148601908
Haiku,Originality,"CL1_(0, 5)_theta",-0.1528325888251589,0.1157805563330321,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,10.205566675398083
Haiku,Creativity,"CL1_(0, 5)_theta",-0.2630017592286373,0.0056429100982516,-0.2630017592286373,CL1,"(0, 5)",theta,Linear,LightGBM,-0.6810830152321548
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.1430357118897516,0.1133802781798377,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.6717086314969506
Senryu,Vivid_Imagery,"CL1_(0, 5)_theta",-0.0882210071013668,0.3331139496659928,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.6244096180803093
Senryu,Moved,"CL1_(0, 5)_theta",0.0119644721478466,0.8183665643110994,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-1.422635979191501
Senryu,Originality,"CL1_(0, 5)_theta",-0.0605860437665689,0.5041378386232306,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.254495170381756
Senryu,Creativity,"CL1_(0, 5)_theta",-0.1525184855245514,0.0886301039915596,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,1.5989252260952516
Control,Aesthetic_Appeal,"CL1_(0, 5)_theta",-0.024510151159132,0.6267241808910661,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-4.195321878819945
Control,Vivid_Imagery,"CL1_(0, 5)_theta",0.0620159788187167,0.2132481085478652,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,0.8776732407787131
Control,Moved,"CL1_(0, 5)_theta",0.0567373747466129,0.26996100596864,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,2.7684436057060426
Control,Originality,"CL1_(0, 5)_theta",-0.0054260728311918,0.9153510053282914,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,1.1256626510854462
Control,Creativity,"CL1_(0, 5)_theta",0.0163831902670489,0.7505196202110695,0.0,CL1,"(0, 5)",theta,Linear,LightGBM,-0.8585835997809812
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_alpha",0.1551957208539475,0.0718767113716804,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,1.3548453890121575
Haiku,Vivid_Imagery,"CL1_(5, 10)_alpha",0.1233184366270685,0.0101019978134306,0.1233184366270685,CL1,"(5, 10)",alpha,Linear,LightGBM,105.96068501603509
Haiku,Moved,"CL1_(5, 10)_alpha",0.2014749265151462,0.0147299067319451,0.2014749265151462,CL1,"(5, 10)",alpha,Linear,LightGBM,9.585799905644178
Haiku,Originality,"CL1_(5, 10)_alpha",0.0315012951079397,0.713206536615334,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,28.14411224096415
Haiku,Creativity,"CL1_(5, 10)_alpha",0.0491584842794515,0.561192835509307,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,-0.2765221823415947
Senryu,Aesthetic_Appeal,"CL1_(5, 10)_alpha",0.2753431392528135,0.0015437323622325,0.2753431392528135,CL1,"(5, 10)",alpha,Linear,LightGBM,0.7292387457209991
Senryu,Vivid_Imagery,"CL1_(5, 10)_alpha",0.273583306649556,0.0011812632997994,0.273583306649556,CL1,"(5, 10)",alpha,Linear,LightGBM,0.28353863655126155
Senryu,Moved,"CL1_(5, 10)_alpha",0.1036743210436283,0.0338178384680752,0.1036743210436283,CL1,"(5, 10)",alpha,Linear,LightGBM,17.250530822020938
Senryu,Originality,"CL1_(5, 10)_alpha",0.1113718974931069,0.1923437388464025,0.0,CL1,"(5, 10)",alpha,Linear,LightGBM,6.156323955292154
